                              title                               |           sub_title            | title_id |   category   |          series_title          | episode_position | season | season_position | episode_code | wanting 
------------------------------------------------------------------+--------------------------------+----------+--------------+--------------------------------+------------------+--------+-----------------+--------------+---------
 Gathering, The                                                   |                                |      687 | SERIES       | Highlander                     |                1 | 1      |               1 |              | 
 Innocent Man                                                     |                                |      689 | SERIES       | Highlander                     |                2 | 1      |               2 |              | 
 Road Not Taken                                                   |                                |      694 | SERIES       | Highlander                     |                3 | 1      |               3 |              | 
 Bad Day In Building A                                            |                                |      677 | SERIES       | Highlander                     |                4 | 1      |               4 |              | 
 Free Fall                                                        |                                |      686 | SERIES       | Highlander                     |                5 | 1      |               5 |              | 
 Deadly Medicine                                                  |                                |      680 | SERIES       | Highlander                     |                6 | 1      |               6 |              | 
 Mountain Men                                                     |                                |      691 | SERIES       | Highlander                     |                7 | 1      |               7 |              | 
 Revenge Is Sweet                                                 |                                |      693 | SERIES       | Highlander                     |                8 | 1      |               8 |              | 
 Sea Witch, The                                                   |                                |      696 | SERIES       | Highlander                     |                9 | 1      |               9 |              | 
 Eye Witness                                                      |                                |      681 | SERIES       | Highlander                     |               10 | 1      |              10 |              | 
 Family Tree                                                      |                                |      683 | SERIES       | Highlander                     |               11 | 1      |              11 |              | 
 See No Evil                                                      |                                |      697 | SERIES       | Highlander                     |               12 | 1      |              12 |              | 
 Band of Brothers                                                 |                                |      678 | SERIES       | Highlander                     |               13 | 1      |              13 |              | 
 For Evil's Sake                                                  |                                |      684 | SERIES       | Highlander                     |               14 | 1      |              14 |              | 
 For Tomorrow We Die                                              |                                |      685 | SERIES       | Highlander                     |               15 | 1      |              15 |              | 
 Beast Below, The                                                 |                                |      679 | SERIES       | Highlander                     |               16 | 1      |              16 |              | 
 Saving Grace                                                     |                                |      695 | SERIES       | Highlander                     |               17 | 1      |              17 |              | 
 Lady and the Tiger, The                                          |                                |      690 | SERIES       | Highlander                     |               18 | 1      |              18 |              | 
 Avenging Angel                                                   |                                |      676 | SERIES       | Highlander                     |               19 | 1      |              19 |              | 
 Eye of the Beholder                                              |                                |      682 | SERIES       | Highlander                     |               20 | 1      |              20 |              | 
 Nowhere To Run                                                   |                                |      692 | SERIES       | Highlander                     |               21 | 1      |              21 |              | 
 Hunters, The                                                     |                                |      688 | SERIES       | Highlander                     |               22 | 1      |              22 |              | 
 Watchers, The                                                    |                                |      698 | SERIES       | Highlander                     |               23 | 2      |               1 |              | 
 Studies in Light                                                 |                                |     2820 | SERIES       | Highlander                     |               24 | 2      |               2 |              | 
 Turnabout                                                        |                                |     2821 | SERIES       | Highlander                     |               25 | 2      |               3 |              | 
 Darkness, The                                                    |                                |     2822 | SERIES       | Highlander                     |               26 | 2      |               4 |              | 
 Eye For An Eye                                                   |                                |     2823 | SERIES       | Highlander                     |               27 | 2      |               5 |              | 
 Zone, The                                                        |                                |     2824 | SERIES       | Highlander                     |               28 | 2      |               6 |              | 
 Return of Amanda, The                                            |                                |     2825 | SERIES       | Highlander                     |               29 | 2      |               7 |              | 
 Revenge of The Sword                                             |                                |     2826 | SERIES       | Highlander                     |               30 | 2      |               8 |              | 
 Run For Your Life                                                |                                |     2827 | SERIES       | Highlander                     |               31 | 2      |               9 |              | 
 Epitaph For Tommy                                                |                                |     2828 | SERIES       | Highlander                     |               32 | 2      |              10 |              | 
 Bless The Child                                                  |                                |     2829 | SERIES       | Highlander                     |               33 | 2      |              11 |              | 
 Fighter, The                                                     |                                |     2830 | SERIES       | Highlander                     |               34 | 2      |              12 |              | 
 Under Color of Authority                                         |                                |     2831 | SERIES       | Highlander                     |               35 | 2      |              13 |              | 
 Unholy Alliance (1)                                              |                                |     2832 | SERIES       | Highlander                     |               36 | 2      |              14 |              | 
 Unholy Alliance (2)                                              |                                |     2833 | SERIES       | Highlander                     |               37 | 2      |              15 |              | 
 Vampire, The                                                     |                                |     2834 | SERIES       | Highlander                     |               38 | 2      |              16 |              | 
 Warmonger                                                        |                                |     2835 | SERIES       | Highlander                     |               39 | 2      |              17 |              | 
 Pharaoh's Daughter                                               |                                |     2836 | SERIES       | Highlander                     |               40 | 2      |              18 |              | 
